,City Name,City ID,Temperature (F),Humidity (%),Cloudiness (%),Wind (mph),Latitude,Longitude
243,Huarmey,3939168,71.09600000000005,74,96,2.83,-10.0681,-78.1522
244,Katobu,1640972,87.42200000000004,59,99,2.85,-4.9408,122.5276
245,Salym,1493162,-21.945999999999948,85,91,3.27,60.0625,71.4789
246,Luanda,2240449,78.8,83,40,3.09,-8.8368,13.2343
247,Arraial do Cabo,3471451,76.83800000000005,84,77,11.01,-22.9661,-42.0278
248,Boyolangu,1648082,82.41800000000009,74,100,1.74,-8.1181,111.8935
249,San Policarpo,1688696,78.908,81,100,10.39,12.1791,125.5072
250,Coyhaique,3894426,44.6,81,0,1.03,-45.5752,-72.0662
251,Tilichiki,2120591,-1.4079999999999515,94,100,5.46,60.4667,166.1
252,Yaan,2338660,69.15200000000007,71,39,2.18,7.3833,8.5667
253,Cacoal,3925212,73.16600000000001,94,100,0.73,-11.4386,-61.4472
254,Vostok,2013279,-4.647999999999975,88,99,2.03,46.4856,135.8833
255,Mackay,2159220,86.792,66,40,9.26,-21.15,149.2
256,Qiongshan,1797535,68.0,83,75,7.0,20.0058,110.3542
257,Samarai,2132606,84.18200000000002,74,100,2.46,-10.6167,150.6667
258,Baruun-Urt,2032614,2.768000000000086,93,84,4.73,46.6806,113.2792
259,Ciudad del Carmen,3530599,72.64400000000008,82,100,6.16,18.6333,-91.8333
260,Bariloche,7647007,53.6,71,0,3.09,-41.1456,-71.3082
261,Bandarbeyla,64814,73.38200000000002,73,27,5.28,9.4942,50.8122
262,Aklavik,5882953,-29.99199999999994,68,93,0.1,68.2191,-135.0107
263,Pevek,2122090,-30.081999999999972,85,21,1.63,69.7008,170.3133
264,Coihueco,3894406,60.8,100,90,4.12,-36.6167,-71.8333
265,Saldanha,3361934,65.53399999999999,80,60,4.83,-33.0117,17.9442
266,Yulara,6355222,93.2,31,100,8.23,-25.2406,130.9889
267,Lagoa,3372964,60.13399999999999,83,100,8.94,39.05,-27.9833
268,Quatre Cocos,1106643,81.53600000000007,89,40,3.6,-20.2078,57.7625
269,Nelson Bay,2155562,81.69800000000002,69,40,4.63,-32.7167,152.15
270,Touros,3386213,77.0,83,40,2.06,-5.1989,-35.4608
271,Tabory,1490364,9.446000000000048,95,100,4.3,58.5198,64.5495
272,Beringovskiy,2126710,-18.147999999999975,83,0,4.59,63.05,179.3167
273,Cayenne,3382160,75.2,100,75,6.17,4.9333,-52.3333
274,Marawi,1701054,80.99600000000005,79,75,2.24,7.9986,124.2928
275,Gbarnga,2277060,70.82600000000009,98,40,0.66,6.9956,-9.4722
276,Karlstad,2701680,5.0,92,0,2.06,59.3793,13.5036
277,Vila,7117100,46.99400000000007,95,89,6.25,42.0304,-8.1588
278,Mana,3381041,76.67600000000009,89,92,6.08,5.6592,-53.7767
279,Honningsvåg,779554,24.638000000000044,92,99,5.72,70.9821,25.9704
280,Srednekolymsk,2121025,-33.12399999999995,84,99,0.85,67.45,153.6833
281,Rafai,236524,68.09000000000002,34,87,1.02,4.95,23.9167
282,Igarka,1505991,-31.989999999999966,74,22,1.32,67.4667,86.5833
283,Tasiilaq,3424607,15.8,48,90,10.29,65.6145,-37.6368
284,Frankfort,1003764,60.96200000000006,95,78,1.81,-27.2667,28.4833
285,Te Anau,2181625,66.32600000000009,43,0,1.33,-45.4167,167.7167
286,Roald,3141667,30.848000000000024,75,75,4.12,62.5833,6.1333
287,Isangel,2136825,87.8,62,40,5.14,-19.55,169.2667
288,Manado,1636544,87.8,66,40,2.06,1.487,124.8455
289,Erzin,296852,39.00200000000008,84,0,5.81,36.9559,36.2
290,Jieshi,1805857,64.00400000000005,53,0,0.45,22.8134,115.8257
291,Løgstør,2617467,25.141999999999996,86,90,2.57,56.9624,9.2583
292,Bambous Virieux,1106677,82.16600000000001,83,75,3.6,-20.3428,57.7575
293,Kungurtug,1501377,19.832000000000015,90,100,6.19,50.5994,97.5228
294,Tūkrah,88834,59.86400000000003,81,32,7.97,32.5341,20.5791
295,Port Macquarie,2152659,82.00400000000005,69,88,0.89,-31.4333,152.9167
296,Tawang Town,1254832,39.88399999999999,46,0,2.22,27.5833,91.8667
297,Barrow,5880054,-11.199999999999946,70,75,3.6,71.2906,-156.7887
298,Cam Ranh,1586350,80.6,54,0,7.72,11.9214,109.1591
299,Namatanai,2090021,84.21800000000009,76,70,6.28,-3.6667,152.4333
300,Saint Paul Harbor,5866583,35.6,55,1,3.6,57.79,-152.4072
301,Montrose,5431716,33.998000000000026,65,93,1.34,38.4166,-108.2673
302,Lavrentiya,4031637,-18.705999999999975,81,0,4.26,65.5833,-171.0
303,Havre-St-Pierre,5972291,8.600000000000001,66,1,1.54,50.2334,-63.5986
304,Tautira,4033557,82.20200000000008,65,75,3.6,-17.7333,-149.15
305,Fort Frances,5955826,21.32600000000009,79,90,4.63,48.5999,-93.4003
306,Lüderitz,3355672,64.79600000000005,55,0,9.54,-26.6481,15.1594
307,Storforshei,3145614,10.004000000000055,78,90,1.34,66.4043,14.5233
308,Front Royal,4760232,21.182000000000016,63,0,2.88,38.9182,-78.1944
309,Port Hardy,6111862,41.72000000000006,87,90,7.72,50.6996,-127.4199
310,Airai,1651810,65.66000000000008,98,100,2.04,-8.9266,125.4092
311,Kaitangata,2208248,57.992,69,28,4.02,-46.2817,169.8464
312,Coahuayana Viejo,4013679,73.54400000000007,72,92,1.01,18.7333,-103.6833
313,Grand Gaube,934479,84.00200000000008,73,2,3.13,-20.0064,57.6608
314,Ayagoz,1525988,15.260000000000083,90,0,4.44,47.9714,80.4392
315,Provideniya,4031574,-7.797999999999973,81,2,1.64,64.3833,-173.3
316,Sarangani,1687186,82.02200000000003,75,100,9.29,5.4033,125.4636
317,Altay,1529651,9.338000000000044,81,21,0.27,47.8667,88.1167
318,Nokaneng,933211,68.19800000000002,94,96,2.16,-19.6667,22.2667
319,Felanitx,2517750,49.01000000000008,100,20,1.03,39.4696,3.1483
320,Tiksi,2015306,-29.649999999999956,85,100,2.34,71.6872,128.8694
321,Cherkasskoye,569170,23.522000000000038,97,93,3.28,52.4333,47.2167
322,Kolondiéba,2454934,68.558,22,0,2.18,11.0882,-6.8926
323,Burnie,2173125,67.94600000000005,59,70,5.95,-41.0667,145.9167
324,Laas,3175096,29.84000000000002,86,90,2.57,46.6166,10.7002
325,Ancud,3899695,47.3,81,0,4.12,-41.8697,-73.8203
326,‘Āhuimanu,5856516,74.44400000000007,73,75,5.66,21.4447,-157.8378
327,Zaozyornoye,687726,46.99400000000007,63,98,2.68,45.1582,33.2787
328,Whitehorse,6180550,-0.20199999999997686,78,75,2.57,60.7161,-135.0538
329,Lensk,2020838,-38.37999999999994,76,74,1.74,60.7253,114.9278
330,Santa Clara,3537906,64.4,72,40,2.06,22.4,-79.9667
331,Eureka,5563397,46.67000000000006,70,100,2.24,40.8021,-124.1637
332,Longido,155848,63.932000000000016,83,99,1.77,-2.7333,36.6833
333,Graham,5795906,39.38000000000004,100,90,1.36,47.0529,-122.2943
334,Kuytun,2021093,6.710000000000083,95,100,2.48,54.3419,101.5036
335,Cortez,5418104,30.758000000000003,93,90,6.17,37.3489,-108.5859
336,Bereket,161974,47.53399999999999,52,93,4.03,39.2446,55.5154
337,Bethel,5282297,11.822000000000038,52,1,2.57,41.3712,-73.414
338,Kirovskiy,2022064,-5.97999999999994,85,96,1.7,45.0917,133.5136
339,Labuhan,8079926,78.99800000000002,85,100,8.02,-6.8844,112.2051
340,Kinna,2700839,16.64600000000005,92,0,0.51,57.5073,12.6946
341,Sun Prairie,5275020,24.241999999999997,74,90,5.66,43.1836,-89.2137
342,Arlit,2447513,54.35600000000003,34,0,0.48,18.7369,7.3853
343,Chulumani,3920244,64.32800000000006,79,97,0.5,-16.4096,-67.5263
344,George Town,1735106,84.66800000000009,61,20,3.6,5.4112,100.3354
345,Tongzhou,1792520,35.94199999999999,25,0,2.0,39.9053,116.5994
346,São Félix do Xingu,3388847,71.65400000000005,96,94,0.32,-6.6447,-51.995
347,Nālūt,2214432,50.82800000000007,47,0,2.57,30.3333,10.85
348,Koundara,2418596,66.00200000000008,26,0,0.89,12.4833,-13.3
349,Pringsewu,1630639,84.27200000000003,68,52,3.16,-5.3582,104.9744
350,Jiaocheng,1806041,74.46200000000006,27,0,0.89,24.6774,116.1389
351,Americus,4179667,39.2,87,1,1.27,32.0724,-84.2327
352,Brownsville,4676740,64.67000000000006,82,1,2.57,25.9018,-97.4975
353,Liverpool,2644210,39.938000000000045,81,90,9.26,53.4106,-2.9779
354,Salinas,5391295,45.62600000000009,76,1,1.54,36.6777,-121.6555
355,Pochutla,3517970,78.8,83,40,3.09,15.7432,-96.4661
356,Abū Zabad,380348,61.214000000000034,28,0,8.04,12.35,29.25
357,La Palma,5364022,49.604000000000056,100,1,1.54,33.8464,-118.0467
358,Jalu,86049,53.34800000000003,71,0,4.59,29.0331,21.5482
359,Riohacha,3670745,73.14800000000002,79,21,4.08,11.5444,-72.9072
360,Tucumã,3385980,77.14400000000008,89,100,3.47,-0.1833,-50.05
361,Port Augusta,2063056,81.41000000000008,50,93,8.23,-32.5,137.7667
362,Wanaka,2184707,67.892,41,1,1.53,-44.7,169.15
363,São João da Barra,3448903,77.28800000000004,81,22,9.27,-21.6403,-41.0511
364,Yazman,1162316,62.72600000000009,24,1,0.84,29.1212,71.7446
